years,USA_co2,China_co2,India_co2,Russian_Federation_co2,United_States_agricultureland,China_agricultureland,India_agricultureland,Russian_agricultureland,World_forest ,World_co2,World_agriculture
1990,4844517.4,2173364.2,563575.4,2163533.1,46.61533624,53.86456475,61.01628218,13.52237194,33.21123456,21284042.79,38.92994784
1991,4807496.5,2302185.2,607224,2136444.3,46.61533624,54.47010891,61.07446884,13.29019072,33.01345676,21440490.2,38.97328952
1992,4879626.1,2418175.3,626293.3,2030810.7,46.44948771,54.78273374,60.97995755,13.52237194,32.51101914,21390040.84,37.11346504
1993,4995209.5,2645411.7,651351.1,1880244.5,46.17860543,55.19910526,61.00585566,13.35241038,32.45485214,21531833.41,37.00124251
1994,5066803,2767666.4,685903,1685046.3,45.98109392,55.6901446,60.97524881,13.29019072,32.39715325,21676894.94,37.17622275
1995,5117036.9,3088620.2,737856.4,1635484.8,45.87191122,55.69020391,60.85887548,13.21253995,32.33725784,22299203.28,37.16720184
1996,5273486.3,3070505.1,774070.2,1601176.5,45.45341392,55.69441737,60.73913877,13.19523311,32.27672239,22778983.29,37.22874218
1997,5543349.4,3134112.6,819268.8,1489506.5,45.29826531,55.694444,60.87098369,13.30933868,32.19881906,23202623.39,37.36490696
1998,5590536.3,3236278.6,836269.9,1487965,45.26583804,55.69447063,60.83499541,13.26433189,32.14466568,23365547.83,37.47590814
1999,5609017.3,3153661.1,901325.2,1523721.3,45.18930097,55.69449726,60.88443725,13.22817022,32.0823544,23530421.41,37.49655141
2000,5775807.2,3346525.8,937858.4,1563845.6,45.23058486,55.69458321,60.86896566,13.25666887,32.00484633,24280271.96,37.52018411
2001,5748261.8,3529081.3,953537.3,1567172,45.2900702,55.75787186,60.70483218,13.23902166,31.96488769,24644437.95,37.53586019
2002,5593024.4,3796157.1,985453.3,1565334.4,45.08487304,55.82113207,60.72938494,13.22579779,31.92517773,24989512.93,37.47500405
2003,5658992,4424412.6,1011770.9,1609996.7,45.08032159,55.88438929,60.62478348,13.20293413,31.88317137,26133423.08,37.33186008
2004,5738286,5113216.6,1085666.9,1600978.5,45.07580289,55.94764475,60.66716221,13.18460213,31.80694126,27331852.94,36.97053504
2005,5753493.2,5824625.1,1136466.4,1611982.1,45.0712951,56.01090318,60.58341377,13.16615989,31.76606492,28371817.05,37.02644679
2006,5653081,6437470.3,1215205.2,1654851,45.06684188,56.07415984,60.50941918,13.15737092,31.72734467,29308175.54,37.03744216
2007,5736319.3,6993182.8,1336737.1,1658148.6,45.06234501,56.1374177,60.4132262,13.15584446,31.68757733,30418994.07,36.97291801
2008,5558378.9,7199604.7,1424383,1655191.1,44.92002116,56.20067197,60.45930465,13.15843626,31.65162673,30632298.65,36.85593543
2009,5156424.9,7719071.4,1564881.1,1546666.4,44.7062669,56.26392504,60.56390611,13.15843626,31.61217853,30238050.03,36.81078171
2010,5392109.4,8474922.7,1659983,1617827.5,44.49251264,56.18347308,60.39741826,13.15843626,31.57177176,32095872.94,36.80543401
2011,5173591.2,9282553.7,1756744,1699083.2,44.27875838,56.10366022,60.43004315,13.15843626,31.53696347,33079721.35,36.94991875
2012,4956053,9540539.7,1909442,1675755.9,44.06499907,56.02352781,60.42062566,13.15843626,31.47231384,33460087.5,36.867753
2013,5092097.2,9979128,1972429.4,1632679.7,44.12468215,55.94339539,60.43946065,13.15843626,31.43820022,34119894.39,36.79023248
2014,5107208.6,10021043.4,2147107,1611960.7,44.18436018,55.86326298,60.44955082,13.15843626,31.40380692,34261369.66,36.78905099
2015,4990703.7,9859281.2,2158023.2,1592559.4,44.24402728,55.78313057,60.43172485,13.15843626,31.36838645,34070176.85,36.62049552
2016,4894499.2,9860914,2195248.5,1571517.3,44.30370531,55.70300409,60.39909996,13.15843626,31.34091596,34145652.3,36.58701415
2017,4819365.1,10089273.2,2308804.4,1594550.3,44.36336735,55.62287167,60.2839388,13.15843626,31.28999701,34687837.09,36.83400084
2018,4975300.4,10567262,2458175.9,1661000,44.36336735,55.54273924,60.24356466,13.15843626,31.25263574,35560555.79,36.73845807
2019,4817710.4,10762824,2423951.4,1703588.7,44.36336735,55.46264943,60.21981337,13.15843626,31.21375455,35477245.4,36.76264776
2020,4320532.5,10944686.2,2200836.3,1618271,44.36336735,55.46264943,60.04586286,13.15843626,31.17690459,33566427.59,36.73092029
